,election_year,fips,election_type,office,seat_status,democratic_raw_votes,republican_raw_votes,gov_raw_county_vote_totals_two_party
2452,2018.0,1103.0,G,GOV,Republican Open Seat,11091.0,28415.0,39506.0
2496,2002.0,1105.0,G,GOV,Democratic Incumbent,3613.0,1335.0,4948.0
2497,2006.0,1105.0,G,GOV,Republican Incumbent,3025.0,1237.0,4262.0
2498,2010.0,1105.0,G,GOV,Republican Open Seat,3303.0,1143.0,4446.0
2499,2014.0,1105.0,G,GOV,Republican Incumbent,2633.0,962.0,3595.0
2500,2018.0,1105.0,G,GOV,Republican Open Seat,3182.0,1061.0,4243.0
2544,2002.0,1107.0,G,GOV,Democratic Incumbent,3923.0,2719.0,6642.0
2545,2006.0,1107.0,G,GOV,Republican Incumbent,2920.0,3311.0,6231.0
2546,2010.0,1107.0,G,GOV,Republican Open Seat,3280.0,4226.0,7506.0
2547,2014.0,1107.0,G,GOV,Republican Incumbent,2525.0,3528.0,6053.0
2548,2018.0,1107.0,G,GOV,Republican Open Seat,3672.0,4636.0,8308.0
2592,2002.0,1109.0,G,GOV,Democratic Incumbent,3846.0,4357.0,8203.0
2593,2006.0,1109.0,G,GOV,Republican Incumbent,3393.0,4627.0,8020.0
2594,2010.0,1109.0,G,GOV,Republican Open Seat,4685.0,5001.0,9686.0
2595,2014.0,1109.0,G,GOV,Republican Incumbent,3821.0,5330.0,9151.0
2596,2018.0,1109.0,G,GOV,Republican Open Seat,4176.0,6226.0,10402.0
2640,2002.0,1111.0,G,GOV,Democratic Incumbent,3302.0,4210.0,7512.0
2641,2006.0,1111.0,G,GOV,Republican Incumbent,2829.0,3653.0,6482.0
2642,2010.0,1111.0,G,GOV,Republican Open Seat,2840.0,4453.0,7293.0
2643,2014.0,1111.0,G,GOV,Republican Incumbent,1917.0,4076.0,5993.0
2644,2018.0,1111.0,G,GOV,Republican Open Seat,1859.0,5729.0,7588.0
2688,2002.0,1113.0,G,GOV,Democratic Incumbent,6696.0,3944.0,10640.0
2689,2006.0,1113.0,G,GOV,Republican Incumbent,5536.0,3955.0,9491.0
2690,2010.0,1113.0,G,GOV,Republican Open Seat,6558.0,4917.0,11475.0
2691,2014.0,1113.0,G,GOV,Republican Incumbent,4758.0,4440.0,9198.0
2692,2018.0,1113.0,G,GOV,Republican Open Seat,7864.0,7168.0,15032.0
2736,2002.0,1115.0,G,GOV,Democratic Incumbent,8026.0,11443.0,19469.0
2737,2006.0,1115.0,G,GOV,Republican Incumbent,5882.0,12803.0,18685.0
2738,2010.0,1115.0,G,GOV,Republican Open Seat,5878.0,18742.0,24620.0
2739,2014.0,1115.0,G,GOV,Republican Incumbent,3522.0,15921.0,19443.0
2740,2018.0,1115.0,G,GOV,Republican Open Seat,6389.0,23529.0,29918.0
2784,2002.0,1117.0,G,GOV,Democratic Incumbent,14964.0,33536.0,48500.0
2785,2006.0,1117.0,G,GOV,Republican Incumbent,10696.0,37167.0,47863.0
2786,2010.0,1117.0,G,GOV,Republican Open Seat,13589.0,49192.0,62781.0
2787,2014.0,1117.0,G,GOV,Republican Incumbent,10324.0,40297.0,50621.0
2788,2018.0,1117.0,G,GOV,Republican Open Seat,26928.0,56989.0,83917.0
2832,2002.0,1119.0,G,GOV,Democratic Incumbent,3868.0,1176.0,5044.0
2833,2006.0,1119.0,G,GOV,Republican Incumbent,3821.0,1614.0,5435.0
2834,2010.0,1119.0,G,GOV,Republican Open Seat,4290.0,1306.0,5596.0
2835,2014.0,1119.0,G,GOV,Republican Incumbent,3101.0,1051.0,4152.0
2836,2018.0,1119.0,G,GOV,Republican Open Seat,4151.0,1289.0,5440.0
2880,2002.0,1121.0,G,GOV,Democratic Incumbent,12534.0,9457.0,21991.0
2881,2006.0,1121.0,G,GOV,Republican Incumbent,9634.0,9399.0,19033.0
2882,2010.0,1121.0,G,GOV,Republican Open Seat,10773.0,13200.0,23973.0
2883,2014.0,1121.0,G,GOV,Republican Incumbent,7877.0,11335.0,19212.0
2884,2018.0,1121.0,G,GOV,Republican Open Seat,10606.0,15621.0,26227.0
2928,2002.0,1123.0,G,GOV,Democratic Incumbent,6558.0,7929.0,14487.0
2929,2006.0,1123.0,G,GOV,Republican Incumbent,5069.0,8078.0,13147.0
2930,2010.0,1123.0,G,GOV,Republican Open Seat,6733.0,9023.0,15756.0
2931,2014.0,1123.0,G,GOV,Republican Incumbent,4041.0,8002.0,12043.0
2932,2018.0,1123.0,G,GOV,Republican Open Seat,5015.0,10703.0,15718.0
2976,2002.0,1125.0,G,GOV,Democratic Incumbent,23970.0,21108.0,45078.0
2977,2006.0,1125.0,G,GOV,Republican Incumbent,19078.0,24247.0,43325.0
2978,2010.0,1125.0,G,GOV,Republican Open Seat,20146.0,34206.0,54352.0
2979,2014.0,1125.0,G,GOV,Republican Incumbent,17196.0,25369.0,42565.0
2980,2018.0,1125.0,G,GOV,Republican Open Seat,34336.0,34335.0,68671.0
