,election_year,fips,election_type,office,seat_status,democratic_raw_votes,republican_raw_votes,senate_raw_county_vote_totals_two_party
971,2014.0,1049,G,SEN,Republican Senator re-election,0.0,12445.0,12445.0
972,2016.0,1049,G,SEN,Republican Senator re-election,4749.0,20347.0,25096.0
973,2017.0,1049,S,SEN,Republican open seat,3559.0,10097.0,13656.0
974,2020.0,1049,G,SEN,Democratic Senator re-election,5253.0,23940.0,29193.0
1006,2002.0,1051,G,SEN,Republican Senator re-election,5198.0,15605.0,20803.0
1007,2004.0,1051,G,SEN,Republican Senator re-election,5419.0,22724.0,28143.0
1008,2008.0,1051,G,SEN,Republican Senator re-election,7283.0,26458.0,33741.0
1009,2010.0,1051,G,SEN,Republican Senator re-election,5555.0,20689.0,26244.0
1010,2014.0,1051,G,SEN,Republican Senator re-election,0.0,16660.0,16660.0
1011,2016.0,1051,G,SEN,Republican Senator re-election,8833.0,27591.0,36424.0
1012,2017.0,1051,S,SEN,Republican open seat,7711.0,14415.0,22126.0
1013,2020.0,1051,G,SEN,Democratic Senator re-election,11399.0,29459.0,40858.0
1045,2002.0,1053,G,SEN,Republican Senator re-election,3135.0,5556.0,8691.0
1046,2004.0,1053,G,SEN,Republican Senator re-election,3482.0,8424.0,11906.0
1047,2008.0,1053,G,SEN,Republican Senator re-election,4816.0,9446.0,14262.0
1048,2010.0,1053,G,SEN,Republican Senator re-election,3307.0,7236.0,10543.0
1049,2014.0,1053,G,SEN,Republican Senator re-election,0.0,6323.0,6323.0
1050,2016.0,1053,G,SEN,Republican Senator re-election,4625.0,9555.0,14180.0
1051,2017.0,1053,S,SEN,Republican open seat,3642.0,4987.0,8629.0
1052,2020.0,1053,G,SEN,Democratic Senator re-election,5400.0,10417.0,15817.0
1084,2002.0,1055,G,SEN,Republican Senator re-election,12999.0,18105.0,31104.0
1085,2004.0,1055,G,SEN,Republican Senator re-election,13544.0,28496.0,42040.0
1086,2008.0,1055,G,SEN,Republican Senator re-election,13925.0,30128.0,44053.0
1087,2010.0,1055,G,SEN,Republican Senator re-election,9647.0,22124.0,31771.0
1088,2014.0,1055,G,SEN,Republican Senator re-election,0.0,19224.0,19224.0
1089,2016.0,1055,G,SEN,Republican Senator re-election,11981.0,31441.0,43422.0
1090,2017.0,1055,S,SEN,Republican open seat,10568.0,15730.0,26298.0
1091,2020.0,1055,G,SEN,Democratic Senator re-election,13145.0,34351.0,47496.0
1123,2002.0,1057,G,SEN,Republican Senator re-election,3104.0,3998.0,7102.0
1124,2004.0,1057,G,SEN,Republican Senator re-election,2034.0,5785.0,7819.0
1125,2008.0,1057,G,SEN,Republican Senator re-election,2090.0,5700.0,7790.0
1126,2010.0,1057,G,SEN,Republican Senator re-election,1583.0,4417.0,6000.0
