"GEO_ID","NAME","H001001","H001002","H001003",
"0500000US17101","Lawrence County, Illinois","6936","6130","806",
"0500000US17103","Lee County, Illinois","15049","13758","1291",
"0500000US17105","Livingston County, Illinois","15895","14613","1282",
"0500000US17107","Logan County, Illinois","12107","11070","1037",
"0500000US17109","McDonough County, Illinois","14419","13057","1362",
"0500000US17111","McHenry County, Illinois","116040","109199","6841",
"0500000US17113","McLean County, Illinois","69656","65104","4552",
"0500000US17115","Macon County, Illinois","50475","45855","4620",
"0500000US17117","Macoupin County, Illinois","21584","19381","2203",
"0500000US17119","Madison County, Illinois","117106","108094","9012",
"0500000US17121","Marion County, Illinois","18296","16148","2148",
"0500000US17123","Marshall County, Illinois","5914","5161","753",
"0500000US17125","Mason County, Illinois","7077","6079","998",
"0500000US17127","Massac County, Illinois","7113","6362","751",
"0500000US17129","Menard County, Illinois","5654","5140","514",
"0500000US17131","Mercer County, Illinois","7358","6734","624",
"0500000US17133","Monroe County, Illinois","13392","12589","803",
"0500000US17135","Montgomery County, Illinois","13080","11652","1428",
"0500000US17137","Morgan County, Illinois","15515","14104","1411",
"0500000US17139","Moultrie County, Illinois","6260","5758","502",
"0500000US17141","Ogle County, Illinois","22561","20856","1705",
"0500000US17143","Peoria County, Illinois","83034","75793","7241",
